episode,step,burst_local_hit,burst_edge_hit
1.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0
1.0,2.0,0.25,0.5
1.0,3.0,0.0,1.0
1.0,4.0,0.5,0.5
1.0,5.0,1.0,1.0
1.0,6.0,1.0,1.0
1.0,7.0,0.0,1.0
1.0,8.0,0.0,0.0
1.0,9.0,0.0,0.0
1.0,10.0,0.0,0.0
1.0,11.0,0.0,0.0
1.0,12.0,0.0,0.0
1.0,13.0,0.0,0.0
1.0,14.0,0.0,0.0
1.0,15.0,0.5,0.5
1.0,16.0,0.25,0.5
1.0,17.0,1.0,1.0
1.0,18.0,1.0,1.0
1.0,19.0,1.0,1.0
1.0,20.0,0.0,1.0
1.0,21.0,0.4,0.8
1.0,22.0,1.0,1.0
1.0,23.0,1.0,1.0
1.0,24.0,0.3333333333333333,1.0
1.0,25.0,0.0,1.0
1.0,26.0,0.2484472049689441,0.4906832298136646
1.0,27.0,0.8881987577639752,1.0
1.0,28.0,1.0,1.0
1.0,29.0,0.9056603773584906,1.0
1.0,30.0,1.0,1.0
1.0,31.0,0.8622754491017964,1.0
1.0,32.0,0.4514285714285714,0.7885714285714286
1.0,33.0,1.0,1.0
1.0,34.0,0.8518518518518519,1.0
1.0,35.0,0.4375,0.90625
1.0,36.0,0.8695652173913043,1.0
1.0,37.0,0.7,0.9
1.0,38.0,1.0,1.0
1.0,39.0,1.0,1.0
1.0,40.0,0.5207100591715976,1.0
1.0,41.0,0.5892857142857143,1.0
1.0,42.0,1.0,1.0
1.0,43.0,0.7352941176470589,1.0
1.0,44.0,0.7455621301775148,1.0
1.0,45.0,0.8654970760233918,1.0
1.0,46.0,1.0,1.0
1.0,47.0,0.8774193548387097,0.8774193548387097
1.0,48.0,0.35365853658536583,0.6829268292682927
1.0,49.0,0.7808988764044944,0.8820224719101124
1.0,50.0,1.0,1.0
1.0,51.0,0.7976878612716763,0.7976878612716763
1.0,52.0,0.864406779661017,1.0
1.0,53.0,0.5,1.0
1.0,54.0,1.0,1.0
1.0,55.0,1.0,1.0
1.0,56.0,0.0,0.0
1.0,57.0,0.0,0.0
1.0,58.0,0.0,0.0
1.0,59.0,1.0,1.0
1.0,60.0,1.0,1.0
1.0,61.0,0.0,0.0
1.0,62.0,0.0,0.0
1.0,63.0,1.0,1.0
1.0,64.0,0.8,1.0
1.0,65.0,0.0,1.0
1.0,66.0,1.0,1.0
1.0,67.0,0.75,1.0
1.0,68.0,0.75,1.0
1.0,69.0,0.3333333333333333,1.0
1.0,70.0,1.0,1.0
1.0,71.0,1.0,1.0
1.0,72.0,1.0,1.0
1.0,73.0,1.0,1.0
1.0,74.0,0.6666666666666666,1.0
1.0,75.0,0.0,0.0
1.0,76.0,1.0,1.0
1.0,77.0,0.0,1.0
1.0,78.0,0.8,1.0
1.0,79.0,1.0,1.0
