round,train_loss,val_loss
1,35.42238921,29.09816628
2,35.20961330,28.79316302
3,34.88731343,28.52171105
4,34.46773332,28.26170496
5,34.00824954,27.95839183
6,33.73901650,27.61073421
7,33.35562928,27.35425509
8,33.04436710,26.97881001
9,32.47701603,26.55014975
10,32.08422285,26.18518503
11,31.61327022,25.73754369
12,31.13654451,25.19970813
13,30.55170924,24.61906534
14,29.92201623,23.86032997
15,28.99937703,23.06465175
16,28.11843020,22.35494459
17,27.52155123,21.79139411
18,26.99334283,21.27813456
19,26.27449889,20.91340448
20,25.92880963,20.60770750
21,25.57572682,20.38041171
22,25.34150151,20.17833762
23,25.01108929,20.03513240
24,24.86709817,19.88324988
